Character,Line,Season,Episode_Number,Episode_Number_Overall
Michael, All right Jim. Your quarterlies look very good. How are things at the library?,1,1,1
Michael," So you’ve come to the master for guidance? Is this what you’re saying, grasshopper?",1,1,1
Michael," All right. Well, let me show you how it’s done.  					",1,1,1
Michael," [on the phone] Yes, I’d like to speak to your office manager, please. Yes, hello. This is Michael Scott. I am the Regional Manager of Dunder Mifflin Paper Products. Just wanted to talk to you manager-a-manger. [quick cut scene] All right. Done deal. Thank you very much, sir. You’re a gentleman and a scholar. Oh, I’m sorry. OK. I’m sorry. My mistake. [hangs up] That was a woman I was talking to, so… She had a very low voice. Probably a smoker, so… [Clears throat] So that’s the way it’s done.  					",1,1,1
Michael," I’ve, uh, I’ve been at Dunder Mifflin for 12 years, the last four as Regional Manager. If you want to come through here… See we have the entire floor. So this is my kingdom, as far as the eye can see. This is our receptionist, Pam. Pam! Pam-Pam! Pam Beesly. Pam has been with us for…  forever. Right, Pam?",1,1,1
Michael," If you think she’s cute now, you should have seen her a couple of years ago. [growls]",1,1,1
Michael," Oh! Pam, this is from Corporate. How many times have I told you? There’s a special filing cabinet for things from corporate.",1,1,1
Michael, It’s called the wastepaper basket! Look at that! Look at that face.  					,1,1,1
Michael," People say I am the best boss. They go, “God we’ve never worked in a place like this before. You’re hilarious.” “And you get the best out of us.” [shows the camera his WORLD’S BEST BOSS mug] I think that pretty much sums it up. I found it at Spencer Gifts.  					",1,1,1
Michael," Corporate really doesn’t really interfere with me at all. Jan Levinson Gould. [walking out of his office] Jan, hello.  I call her Hillary Rodham Clinton. Right? Not to her face, because… well, not because I’m scared of her. Because I’m not. But, um… Yeah.  					",1,1,1
Michael, Really? I didn’t… [looks at Pam] Did we get a fax this morning?,1,1,1
Michael," Why isn’t it in my hand? A company runs on efficiency of communication, right? So what’s the problem, Pam? Why didn’t I get it?",1,1,1
Michael," Yeah, that was a joke. That was a joke that was actually my brother’s, and… It was supposed to be with bills and it doesn’t work great with faxes.",1,1,1
Michael," No, no, no, no, this is good. This is good. This is fine. Excellent.",1,1,1
Michael, All the alarm bells are kind of going… ringie-dingie-ding!,1,1,1
Michael," Me no wanna hear that, Jan. Because downsizing is a bitch. It is a real bitch. And I wouldn’t wish that on Josh’s men. I certainly wouldn’t wish it on my men. Or women, present company excluded. Sorry. Uh, is Josh concerned about downsizing himself? Not downsizing himself but is he concerned about downsizing?  					",1,1,1
Michael,"  Question. How long do we have to… [Telephone rings] Oh uh, Todd Packer, terrific rep. Do you mind if I take it?",1,1,1
Michael," Oh, my God! Oh! That’s… horrifying. Horrible. Horrible person.",1,1,1
Michael," No, absolutely. Under this regime, it will not leave this office. [zips his lips] Like that.  					",1,1,1
Michael," Am I going to tell them? No, I am not going to tell them. I don’t see the point of that. As a doctor, you would not tell a patient if they had cancer.  					",1,1,1
Michael," Howard, like Moe Howard. Three Stooges.",1,1,1
Michael," Watch this. This is Moe. Nyuck-nyuck-nyuck-nyuck-nyuck. Mee! [hold hand up for a high five] Ah, right here. Three Stooges. Oh, Pam. It’s a guy thing, Pam. I’m sort of a student of comedy. Watch this. Here we go. [Yelling in cod German] I’m Hitler. Adolf Hitler. [Continues with cod German]  					",1,1,1
Michael," Relax. Everything’s under control. Uh, yeah. Yeah. That’s important. Right. Oh this is so important, I should run to answer it. [Imitating Six-Million Dollar Man sound effect]",1,1,1
Michael," Come on. Six-Million Dollar Man! Steve Austin! Actually, that would be a good salary for me, don’t you think? Six million dollars? Memo to Jan. I deserve a raise.",1,1,1
Michael,"  If you’re unhappy with your compensation, maybe you should take it up with HR. OK. Not today, OK? Pam, just be professional. [Sighs]  					",1,1,1
Michael," I think I’m a role model here. I think I garner people’s respect. [Imitating a PA] Attention all Dunder Mifflin employees, please. We have a meeting in the conference room, ASAP.  					",1,1,1
Michael," People I respect, heroes of mine, would be Bob Hope… Abraham Lincoln, definitely. Bono. And probably God would be the fourth one. And I just think all those people really helped the world in so many ways that it’s really beyond words. It’s really incalculable.  					",1,1,1
Michael, Now I know there’s some rumors out there and I just kind of want to set the record straight.,1,1,1
Michael, I’m about to tell everybody. I’m just about to tell everybody.,1,1,1
Michael, Corporate has deemed it appropriate to enforce an ultimatum upon me. And Jan is thinking about downsizing either the Stamford branch or this branch.  					,1,1,1
Michael," It won’t be out of my hands Stanley, OK. I promise you that.",1,1,1
Michael,"  Well, yeah, it is a promise. And frankly, I’m a little insulted that you have to keep asking about it.",1,1,1
Michael," I know. Hold on a second. I think Pam wanted to say something. Pam, you had a look that you wanted to ask a question just then.",1,1,1
Michael," Well, Pam maybe you should stick to the ongoing confidentiality agreement of meetings.",1,1,1
Michael," No, Stanley. No, you did not see me in there with her. I said if Corporate wants to come in here and interfere, then they’re gonna have to go through me. Right? You can go mess with Josh’s people, but I’m the head of this family, and you ain’t gonna be messing with my chillin.  					",1,1,1
Michael," Watch out for this guy. Dwight Schrute in the building. This is Ryan, the new temp.",1,1,1
Michael," Assistant to the Regional Manager. So, uh, Dwight tell him about the kung fu and the car and everything.",1,1,1
Michael," OK. Hold on, hold on. The judge is in session. What is the problem here?",1,1,1
Michael," No, no, no. Do not take it out. You have to eat it out of there, because there are starving people in the world [turns to camera] which I hate, and it is a waste of that kind of food.",1,1,1
Michael," Discipline. Kinky! [Laughs] All right, here’s the deal you guys. The thing about a practical joke is you have to know when to start and as well as when to stop.",1,1,1
Michael,"  And yeah, Jim this is the time to stop putting Dwight’s personal effects into Jell-O.",1,1,1
Michael, [Laughing] Nice. That’s the way it is around here. It just kind of goes round and round.,1,1,1
Michael, Pudding. Pudding… I’m trying to think of another dessert to do.  					,1,1,1
Michael," So have you felt the vibe yet? We work hard, we play hard. Sometimes we play hard when we should be working hard. Right? I guess the atmosphere that I’ve created here is that I’m a friend first, and a boss second… and probably an entertainer third. [Knock at door] Just a second. Right? Oh, hey do you like The Jamie Kennedy Experiment? Punk’d and all that kind of stuff?",1,1,1
Michael," You are gonna be my accomplice. Just go along with it, OK?",1,1,1
Michael," Just follow my lead. Don’t pimp me, all right? Come in. So, uh, Corporate just said that I don’t want to…",1,1,1
Michael," Oh, thank you. Pam, can you come in here for a sec. Just have a seat. I was gonna call you in anyway. You know Ryan. As you know, there is going to be downsizing. And you have made my life so much easier in that I am going to have to let you go first.",1,1,1
Michael," 50 cents, yeah. If you steal a thousand Post-It Notes at 50 cents apiece, and you know,  you’ve made a profit… margin. You’re gonna run us out of business, Pam.",1,1,1
Michael, But the best thing about it is that we’re not going to have to give you any severance pay. Because that is gross misconduct and… Just clean out your desk. I’m sorry.,1,1,1
Michael," [Pam starts crying] You been X’d punk! [Laughing] Surprise! It’s a joke. We were joking around. See? OK. He was in on it. He was my accomplice. And it was kind of a morale booster thing. And we were showing the new guy around, giving him the feel of the place. So you… God, we totally got you.",1,1,1
Michael," What is the most important thing for a company? Is it the cash flow? Is it the inventory? Nuh-uh. It’s the people. The people. My proudest moment here was not when I increased profits by 17% or when I cut expenses without losing a single employee. No, no, no, no, no. It was a young Guatemalan guy. First job in the country, barely spoke English. He came to me, and said, “Mr. Scott, would you be the godfather of my child?” Wow. Wow. Didn’t work out in the end. We had to let him go. He sucked.  					",1,1,1
